"ID","Address","DateOfSale","SalePrice","IsAStudio","Beds","Baths","Size","LotSize","BuiltInYear"
15076699,"1 Daniel Burnham Ct APT 1202, San Francisco, CA","12/1/15","0.795","0.0","1.0","1.0","0.772","","1988.0"
15076711,"1 Daniel Burnham Ct APT 1404, San Francisco, CA","12/11/15","0.975","0.0","2.0","2.0","1.009","","1988.0"
15076978,"66 Cleary Ct APT 1408, San Francisco, CA","12/21/15","0.895","0.0","2.0","2.0","1.106","","1963.0"
15077111,"1200 Gough St APT 22B, San Francisco, CA","1/29/16","0.65","1.0","","1.0","0.55","","1966.0"
15077403,"1310 Scott St # 40, San Francisco, CA","12/23/15","0.958","0.0","3.0","2.0","1.27","","1986.0"
15077572,"601 Van Ness Ave APT 48, San Francisco, CA","11/30/15","0.83","0.0","2.0","2.0","1.09","","1982.0"
15077602,"601 Van Ness Ave APT 78, San Francisco, CA","12/18/15","0.81","0.0","2.0","2.0","0.952","","1982.0"
15077705,"601 Van Ness Ave APT 605, San Francisco, CA","12/1/15","0.825","0.0","2.0","2.0","1.072","","1982.0"
15077725,"601 Van Ness Ave APT 201, San Francisco, CA","1/5/16","0.555","0.0","1.0","1.0","0.75","","1982.0"
15077902,"601 Van Ness Ave APT 944, San Francisco, CA","12/10/15","0.6","0.0","1.0","1.0","0.894","","1982.0"
15077929,"601 Van Ness Ave APT 405, San Francisco, CA","12/4/15","0.825","0.0","2.0","2.0","0.881","","1982.0"
15078419,"301 Gough St APT 3, San Francisco, CA","12/4/15","0.81","0.0","1.0","1.0","0.626","","1999.0"
15078423,"301 Gough St # G, San Francisco, CA","11/10/15","1.15","0.0","","","0.936","",""
15078434,"412-414 Linden St, San Francisco, CA","12/16/15","0.835","0.0","4.0","2.0","2.2","1.297","1909.0"
15078460,"622-626 Buchanan St, San Francisco, CA","11/12/15","1.25","0.0","","","2.785","1.637","1900.0"
15078536,"640 Steiner St, San Francisco, CA","12/15/15","1.5","0.0","2.0","2.0","1.593","","1895.0"
15078815,"545-547 Oak St, San Francisco, CA","12/23/15","1.77","0.0","5.0","3.0","2.61","3.297","1900.0"
15078866,"753-755 Oak St, San Francisco, CA","11/10/15","0.375","0.0","","2.0","2.43","3.781","1890.0"
15078940,"706 Haight St, San Francisco, CA","11/10/15","1.68","0.0","2.0","2.0","1.463","","1997.0"
15078953,"789-793 Page St, San Francisco, CA","11/25/15","1.7","0.0","6.0","3.0","3.825","2.247","1911.0"
15079164,"544 Waller St # 1, San Francisco, CA","12/15/15","1.9","0.0","3.0","3.0","0.86","","1983.0"
15079269,"591-595 Waller St, San Francisco, CA","12/2/15","1.23","0.0","","7.0","7.24","2.696","1900.0"
15079279,"101-105 Steiner St, San Francisco, CA","12/9/15","2.7","0.0","","3.0","6.726","2.735","1900.0"
15079314,"457-461 Waller St, San Francisco, CA","12/22/15","1.55","1.0","","","3.75","3.0","1900.0"
15079585,"3835 Scott St APT 105, San Francisco, CA","12/22/15","1.12","0.0","1.0","1.0","1.118","","1928.0"
15079836,"2146 Bay St, San Francisco, CA","11/25/15","7.1","0.0","2.0","4.5","1.5","3.436","1925.0"
15080238,"2646-2648 Greenwich St, San Francisco, CA","12/4/15","5.15","0.0","","2.0","2.692","3.436","1911.0"
15080315,"2953 Broderick St, San Francisco, CA","12/18/15","3.0","0.0","2.0","2.5","1.876","1.637","1923.0"
15080609,"2769 Union St, San Francisco, CA","12/1/15","3.13","0.0","3.0","2.0","2.8","","1984.0"
15080826,"2780 Broadway St, San Francisco, CA","11/25/15","17.1","0.0","5.0","6.0","6.8","3.46","1962.0"
15080894,"2950 Pacific Ave, San Francisco, CA","11/25/15","16.0","0.0","7.0","6.5","11.5","","1907.0"
15081067,"46 Presidio Ave, San Francisco, CA","11/25/15","3.9","0.0","4.0","3.5","2.75","2.705","1916.0"
15081147,"2955 Pacific Ave, San Francisco, CA","11/16/15","3.65","0.0","3.0","2.0","2.16","","1995.0"
15081160,"2820 Jackson St, San Francisco, CA","12/14/15","4.0","0.0","5.0","3.5","3.212","3.0","1900.0"
15081273,"2801 Jackson St # 12, San Francisco, CA","12/24/15","1.42","0.0","2.0","1.0","1.33","","1906.0"
15081334,"2947 Jackson St, San Francisco, CA","11/30/15","1.87","0.0","3.0","2.0","2.1","","1939.0"
15081395,"3100 Washington St #6, San Francisco, CA","12/22/15","0.825","0.0","1.0","1.0","0.808","","1964.0"
15081736,"3515 Washington St, San Francisco, CA","12/2/15","3.8","0.0","2.0","3.0","2.76","4.464","1941.0"
15081960,"2921 Washington St APT 5, San Francisco, CA","11/23/15","1.0","0.0","1.0","1.0","1.07","","1916.0"
15082108,"3016 Sacramento St, San Francisco, CA","12/22/15","1.85","0.0","2.0","1.5","1.408","","1890.0"
15082200,"333 Presidio Ave APT 4, San Francisco, CA","12/9/15","0.738","0.0","1.0","1.0","0.77","","1907.0"
15082795,"25-29 Parker Ave #27, San Francisco, CA","11/19/15","1.07","0.0","2.0","2.0","1.092","","1909.0"
15083161,"1825 Scott St, San Francisco, CA","11/23/15","32.7","0.0","","1.0","1.1","1.694","1900.0"
15084143,"270 Ewing Ter, San Francisco, CA","11/20/15","1.57","0.0","2.0","1.0","1.25","2.178","1940.0"
15084385,"1213 Scott St, San Francisco, CA","11/25/15","1.5","0.0","3.0","1.5","1.439","","1900.0"
15084557,"26 Rossi Ave, San Francisco, CA","12/31/15","0.259","0.0","7.0","3.0","4.361","3.428","1941.0"
15084949,"1912 Golden Gate Ave, San Francisco, CA","11/16/15","1.77","0.0","3.0","2.0","1.154","3.436","1900.0"
15084954,"1954 Golden Gate Ave, San Francisco, CA","11/24/15","1.1","0.0","2.0","1.0","1.515","","1895.0"
15085630,"650-652 Broderick St, San Francisco, CA","12/30/15","1.8","0.0","8.0","2.0","3.35","2.809","1907.0"
15085696,"532-534 Lyon St, San Francisco, CA","11/25/15","4.5","0.0","","2.0","2.696","3.044","1904.0"
15085726,"1667C-1667B Fulton St, San Francisco, CA","1/21/16","0.822","0.0","","2.0","1.75","1.437","1908.0"
15086718,"1260 Haight St APT 5, San Francisco, CA","12/3/15","1.05","0.0","2.0","1.0","1.082","3.438","1928.0"
15086964,"1576 Waller St, San Francisco, CA","1/8/16","1.5","0.0","3.0","1.0","1.668","","1900.0"
15087483,"721 Frederick St, San Francisco, CA","12/24/15","0.725","0.0","1.0","1.0","0.59","","1990.0"
15087641,"805-807 Clayton St, San Francisco, CA","12/15/15","2.55","0.0","","","2.95","2.495","1910.0"
15087654,"814 Cole St, San Francisco, CA","12/17/15","1.77","0.0","5.0","2.0","3.0","2.687","1906.0"
15087801,"978 Clayton St, San Francisco, CA","12/1/15","1.8","0.0","2.0","1.0","1.585","","1924.0"
15088159,"1043-1045 Clayton St, San Francisco, CA","12/22/15","1.21","0.0","","4.0","5.736","","1974.0"
15088460,"4855-4857 17TH St, San Francisco, CA","12/31/15","0.85","0.0","","2.0","2.31","3.009","1926.0"
15088722,"520 El Camino Del Mar, San Francisco, CA","12/31/15","6.1","0.0","6.0","5.5","4.84","6.926","1926.0"
15088769,"80 Mclaren Ave, San Francisco, CA","11/25/15","11.6","0.0","4.0","5.0","6.473","9.628","1924.0"
15089097,"78 22nd Ave, San Francisco, CA","12/23/15","4.3","0.0","4.0","4.5","4.017","3.001","1907.0"
15089098,"22 22nd Ave, San Francisco, CA","11/17/15","4.97","0.0","5.0","5.0","5.61","","1926.0"
15090454,"286 27th Ave, San Francisco, CA","11/13/15","0.95","0.0","2.0","1.0","1.367","","1924.0"
15090770,"2730-2732 Clement St, San Francisco, CA","12/4/15","1.2","0.0","4.0","2.0","3.04","2.538","1924.0"
15090783,"326 29th Ave, San Francisco, CA","11/25/15","1.5","0.0","3.0","1.0","1.675","3.049","1910.0"
15090866,"323-325 25TH Ave, San Francisco, CA","11/17/15","1.44","0.0","2.0","1.0","3.13","2.996","1923.0"
15091143,"262-264 17TH Ave, San Francisco, CA","11/19/15","1.62","0.0","2.0","1.0","3.41","3.0","1916.0"
15091950,"333-337 20TH Ave, San Francisco, CA","11/18/15","1.75","0.0","4.0","","2.6","3.0","1907.0"
15092065,"455 25th Ave APT 2, San Francisco, CA","1/21/16","1.04","0.0","3.0","2.0","1.287","","1996.0"
15092455,"3535 Clement St, San Francisco, CA","12/8/15","1.83","0.0","4.0","3.0","2.5","3.886","1919.0"
15092620,"3945 Clement St, San Francisco, CA","12/10/15","1.7","0.0","3.0","2.5","2.209","2.5","1930.0"
15092835,"149 Seal Rock Dr, San Francisco, CA","11/24/15","0.7","0.0","2.0","1.0","1.275","2.5","1941.0"
15093047,"554 46th Ave, San Francisco, CA","1/12/16","0.665","0.0","2.0","1.0","0.83","0.644","1900.0"
15093075,"539 44th Ave, San Francisco, CA","12/17/15","0.9985","0.0","2.0","1.0","1.29","3.0","1922.0"
15093237,"586-588 42ND Ave, San Francisco, CA","12/24/15","0.74","0.0","2.0","1.0","0.864","1.438","1945.0"
15093645,"505-507 32ND Ave, San Francisco, CA","12/18/15","1.47","0.0","","4.0","2.376","1.437","1958.0"
15093664,"591 29th Ave, San Francisco, CA","11/20/15","1.75","0.0","3.0","2.5","1.8","1.875","1936.0"
15093745,"591 27th Ave, San Francisco, CA","12/31/15","0.897","0.0","2.0","1.0","0.9","1.76","1915.0"
15093965,"2920 Anza St, San Francisco, CA","12/23/15","0.31","0.0","4.0","2.0","2.102","2.666","1920.0"
15094244,"470 12th Ave, San Francisco, CA","12/10/15","1.48","0.0","2.0","1.5","1.63","","1931.0"
15094520,"3701 Geary Blvd # 304, San Francisco, CA","12/15/15","0.7855","0.0","2.0","2.0","1.214","8.25","1986.0"
15094548,"528 2nd Ave, San Francisco, CA","11/25/15","1.45","1.0","","","2.81","3.049","1906.0"
15094694,"539 5th Ave, San Francisco, CA","12/9/15","1.24","0.0","","1.0","0.925","3.0","1907.0"
15094710,"570-572 6TH Ave, San Francisco, CA","11/13/15","1.7","0.0","3.0","","2.75","3.0","1906.0"
15095208,"574 18th Ave, San Francisco, CA","12/3/15","1.83","0.0","3.0","1.5","2.05","3.0","1916.0"
15095382,"559 21st Ave, San Francisco, CA","12/16/15","1.25","0.0","2.0","1.0","1.4","3.001","1918.0"
15095541,"3321 Anza St, San Francisco, CA","12/31/15","2.27","0.0","8.0","6.0","4.729","2.43","1905.0"
15095745,"654 30th Ave, San Francisco, CA","11/25/15","1.58","0.0","3.0","1.5","1.9","3.049","1927.0"
15095966,"699 36th Ave APT 408, San Francisco, CA","12/15/15","0.925","0.0","3.0","3.0","1.639","1.742","1997.0"
15096484,"716 Great Hwy # 1, San Francisco, CA","12/16/15","0.912","0.0","3.0","2.0","1.6","","1990.0"
15096544,"783 La Playa St # 2, San Francisco, CA","12/14/15","0.535","0.0","1.0","1.0","0.667","","1991.0"
15096577,"739 48th Ave, San Francisco, CA","1/5/16","0.945","0.0","","2.0","1.368","3.0","1957.0"
15096806,"744 44th Ave, San Francisco, CA","11/10/15","1.23","0.0","4.0","3.0","2.38","4.199","1926.0"
15097178,"760 35th Ave, San Francisco, CA","12/1/15","1.81","0.0","8.0","5.0","3.905","3.598","1965.0"
15097633,"623 23rd Ave, San Francisco, CA","12/1/15","0.955","0.0","2.0","1.0","1.085","2.77","1920.0"
15097709,"668 23rd Ave, San Francisco, CA","11/25/15","1.12","0.0","","1.0","1.325","2.996","1922.0"
15098770,"790 7th Ave APT 104, San Francisco, CA","12/22/15","0.6","0.0","2.0","1.0","0.56","","1981.0"
15099387,"735 22nd Ave, San Francisco, CA","12/14/15","0.005995","0.0","4.0","2.0","1.8","2.996","1921.0"
15099711,"886 30th Ave, San Francisco, CA","11/12/15","1.38","0.0","2.0","3.0","1.99","2.375","1929.0"
15100149,"806 39th Ave, San Francisco, CA","11/20/15","1.05","0.0","","1.0","1.375","2.374","1926.0"
15100309,"801 42nd Ave, San Francisco, CA","12/18/15","1.46","0.0","3.0","3.0","2.73","2.25","1923.0"
15100665,"855 La Playa St APT 360, San Francisco, CA","1/20/16","0.75","0.0","2.0","2.0","1.193","","1982.0"
15100990,"4220 Irving St, San Francisco, CA","1/21/16","1.15","0.0","3.0","2.0","1.675","2.495","1950.0"
15101068,"1223 41st Ave, San Francisco, CA","11/25/15","1.1","0.0","3.0","2.0","1.771","2.996","1938.0"
15101712,"1216 28th Ave, San Francisco, CA","11/18/15","2.02","0.0","5.0","2.5","2.666","4.791","1924.0"
15101817,"1246 25th Ave, San Francisco, CA","12/31/15","1.16","0.0","2.0","2.0","1.76","3.0","1940.0"
15101927,"1271 21st Ave, San Francisco, CA","1/4/16","1.85","1.0","","","3.17","3.001","1983.0"
15101998,"1259 18th Ave, San Francisco, CA","11/24/15","1.5","0.0","3.0","3.0","2.236","3.049","1924.0"
15102413,"1251 2nd Ave, San Francisco, CA","12/17/15","1.6","0.0","","3.0","4.48","2.108","1908.0"
15102663,"1337-1339 8TH Ave, San Francisco, CA","12/15/15","0.78","0.0","","3.0","1.8","2.996","1912.0"
15102698,"1310 10th Ave, San Francisco, CA","11/24/15","1.83","0.0","3.0","3.0","1.88","2.374","1908.0"
15102704,"1351 10th Ave, San Francisco, CA","11/13/15","1.67","0.0","2.0","1.0","1.152","2.996","1940.0"
15102806,"1300 Funston Ave, San Francisco, CA","12/11/15","1.15","0.0","","2.0","1.05","1.438","1941.0"
15102829,"1387 14th Ave, San Francisco, CA","1/4/16","1.66","0.0","4.0","2.0","1.926","2.495","1931.0"
15103364,"1383 29th Ave, San Francisco, CA","12/17/15","1.18","0.0","4.0","2.0","1.475","2.5","1941.0"
15103435,"1343 31st Ave, San Francisco, CA","12/18/15","1.25","0.0","3.0","2.0","1.886","3.0","1934.0"
15103440,"1363 31st Ave, San Francisco, CA","11/10/15","1.13","0.0","3.0","2.0","1.822","3.0","1940.0"
15103467,"1300-1302 32ND Ave, San Francisco, CA","11/11/15","1.13","0.0","","","1.68","2.375","1944.0"
15103472,"3015-3017 Irving St, San Francisco, CA","12/2/15","1.04","0.0","","2.0","2.3","2.495","1948.0"
15103550,"1394-1396 34TH Ave, San Francisco, CA","12/18/15","1.24","0.0","","2.0","2.024","1.437","1946.0"
15103602,"1394-1396 35TH Ave, San Francisco, CA","12/8/15","1.08","0.0","","2.0","1.7","1.738","1944.0"
15104164,"1440 La Playa St, San Francisco, CA","12/18/15","1.3","0.0","3.0","2.0","1.313","2.996","1900.0"
15104379,"1466 44th Ave, San Francisco, CA","11/20/15","0.892","0.0","2.0","1.0","1.13","3.049","1926.0"
15104496,"1422 42nd Ave, San Francisco, CA","11/20/15","1.22","0.0","3.0","1.0","1.325","2.996","1951.0"
15104676,"1475 37th Ave, San Francisco, CA","12/7/15","1.14","0.0","2.0","1.5","1.713","3.049","1937.0"
15104925,"1459 31st Ave, San Francisco, CA","11/18/15","1.29","0.0","4.0","2.0","2.281","3.001","1937.0"
15105121,"2338 Kirkham St, San Francisco, CA","11/25/15","0.9","0.0","2.0","2.5","1.305","2.613","1946.0"
15105664,"1444 17th Ave # 101, San Francisco, CA","2/8/16","1.6","0.0","3.0","3.0","1.902","","1996.0"
15106658,"1527 18th Ave, San Francisco, CA","12/4/15","1.48","0.0","4.0","3.5","2.125","2.996","1930.0"
15106778,"1555 21st Ave, San Francisco, CA","12/17/15","1.1","0.0","2.0","2.0","1.204","3.049","1926.0"
15107313,"1551 32nd Ave, San Francisco, CA","12/15/15","0.3125","0.0","2.0","1.0","1.3","2.996","1937.0"
15107396,"1518 34th Ave, San Francisco, CA","12/9/15","1.35","0.0","3.0","3.0","1.375","3.049","1935.0"
15107419,"1573 34th Ave, San Francisco, CA","11/19/15","1.62","0.0","3.0","2.0","2.4","3.3","1933.0"
15107430,"1578 35th Ave, San Francisco, CA","12/4/15","0.675","0.0","","2.0","2.301","3.267","1932.0"
15107765,"1587 43rd Ave, San Francisco, CA","12/29/15","0.994","0.0","3.0","4.0","2.165","2.374","1936.0"
15107784,"1534 44th Ave, San Francisco, CA","11/13/15","1.28","0.0","3.0","3.0","1.325","3.0","1936.0"
15107837,"1526 45th Ave, San Francisco, CA","12/14/15","0.925","0.0","2.0","2.0","1.35","3.0","1916.0"
15108109,"4116-4118 Moraga St, San Francisco, CA","12/30/15","0.655","0.0","4.0","","1.46","3.049","1910.0"
15108159,"4036 Moraga St, San Francisco, CA","12/30/15","0.75","0.0","2.0","1.0","0.85","2.495","1941.0"
15108650,"1618 38th Ave, San Francisco, CA","12/3/15","1.2","0.0","3.0","1.0","1.775","3.001","1941.0"
15108727,"1667 34th Ave, San Francisco, CA","12/24/15","1.05","0.0","2.0","1.0","1.35","3.049","1940.0"
15108819,"2601 Lawton St, San Francisco, CA","12/18/15","1.25","0.0","3.0","1.0","1.45","2.178","1942.0"
15108913,"1626 32nd Ave, San Francisco, CA","1/4/16","1.43","0.0","4.0","3.0","2.1","3.001","1935.0"
15109011,"1630 30th Ave, San Francisco, CA","12/30/15","1.01","0.0","","1.0","1.3","2.996","1945.0"
15109410,"1622 21st Ave, San Francisco, CA","12/22/15","0.851","0.0","2.0","1.0","1.275","3.049","1936.0"
15110595,"1727 34th Ave, San Francisco, CA","11/23/15","1.33","0.0","3.0","2.0","1.845","3.001","1940.0"
15110823,"1727 29th Ave, San Francisco, CA","12/23/15","1.88","0.0","4.0","3.5","2.58","3.001","1939.0"
15111172,"1750 23rd Ave, San Francisco, CA","12/15/15","1.16","0.0","3.0","3.0","2.028","3.0","1949.0"
15111486,"1700 14th Ave, San Francisco, CA","12/18/15","0.76","0.0","3.0","3.0","1.756","2.078","1978.0"
15111533,"1732-1734 Funston Ave, San Francisco, CA","12/2/15","1.65","0.0","","2.0","2.524","2.996","1954.0"
15111559,"1755 11th Ave, San Francisco, CA","12/2/15","1.0","0.0","2.0","1.5","1.25","3.0","1924.0"
15111575,"1706 12th Ave, San Francisco, CA","12/16/15","1.5","0.0","4.0","2.0","1.861","2.021","1938.0"
15111695,"124 Noriega St, San Francisco, CA","12/10/15","1.26","0.0","3.0","2.0","1.484","2.5","1941.0"
15111963,"870 Pacheco St, San Francisco, CA","12/10/15","1.58","0.0","3.0","4.0","1.983","3.798","1940.0"
15112556,"1819 26th Ave, San Francisco, CA","1/14/16","1.0","0.0","2.0","1.0","1.175","2.996","1939.0"
15112775,"1863 30th Ave, San Francisco, CA","12/8/15","0.076","0.0","2.0","1.0","1.319","2.996","1939.0"
15112892,"1863 32nd Ave, San Francisco, CA","12/2/15","1.1","0.0","2.0","2.0","1.15","3.049","1941.0"
15113076,"2845 Noriega St, San Francisco, CA","12/22/15","1.23","0.0","3.0","2.5","2.18","2.931","1947.0"
15113584,"1858 47th Ave, San Francisco, CA","12/21/15","0.895","0.0","3.0","2.0","1.135","3.0","1958.0"
15114102,"1922 42nd Ave, San Francisco, CA","12/10/15","2.88","0.0","2.0","1.0","1.076","3.0","1952.0"
